 

stn;time;sre000z0;qsre000z0
LUZ;202301010000;0;4
LUZ;202301010010;0;4
LUZ;202301010020;0;4
LUZ;202301010030;0;4
LUZ;202301010040;0;4
LUZ;202301010050;0;4
LUZ;202301010100;0;4
LUZ;202301010110;0;4
LUZ;202301010120;0;4
LUZ;202301010130;0;4
LUZ;202301010140;0;4
LUZ;202301010150;0;4
LUZ;202301010200;0;4
LUZ;202301010210;0;4
LUZ;202301010220;0;4
LUZ;202301010230;0;4
LUZ;202301010240;0;4
LUZ;202301010250;0;4
LUZ;202301010300;0;4
LUZ;202301010310;0;4
LUZ;202301010320;0;4
LUZ;202301010330;0;4
LUZ;202301010340;0;4
LUZ;202301010350;0;4
LUZ;202301010400;0;4
LUZ;202301010410;0;4
LUZ;202301010420;0;4
LUZ;202301010430;0;4
LUZ;202301010440;0;4
LUZ;202301010450;0;4
LUZ;202301010500;0;4
LUZ;202301010510;0;4
LUZ;202301010520;0;4
LUZ;202301010530;0;4
LUZ;202301010540;0;4
LUZ;202301010550;0;4
LUZ;202301010600;0;4
LUZ;202301010610;0;4
LUZ;202301010620;0;4
LUZ;202301010630;0;4
LUZ;202301010640;0;4
LUZ;202301010650;0;4
LUZ;202301010700;0;4
LUZ;202301010710;0;4
LUZ;202301010720;0;4
LUZ;202301010730;0;4
LUZ;202301010740;0;4
LUZ;202301010750;0;4
LUZ;202301010800;4;4
LUZ;202301010810;10;4
LUZ;202301010820;10;4
LUZ;202301010830;10;4
LUZ;202301010840;10;4
LUZ;202301010850;4;4
LUZ;202301010900;0;4
LUZ;202301010910;0;4
LUZ;202301010920;6;4
LUZ;202301010930;10;4
LUZ;202301010940;10;4
LUZ;202301010950;10;4
LUZ;202301011000;10;4
LUZ;202301011010;10;4
LUZ;202301011020;10;4
LUZ;202301011030;10;4
LUZ;202301011040;10;4
LUZ;202301011050;10;4
LUZ;202301011100;10;4
LUZ;202301011110;10;4
LUZ;202301011120;10;4
LUZ;202301011130;10;4
LUZ;202301011140;10;4
LUZ;202301011150;10;4
LUZ;202301011200;10;4
LUZ;202301011210;10;4
LUZ;202301011220;10;4
LUZ;202301011230;10;4
LUZ;202301011240;10;4
LUZ;202301011250;10;4
LUZ;202301011300;10;4
LUZ;202301011310;10;4
LUZ;202301011320;10;4
LUZ;202301011330;10;4
LUZ;202301011340;10;4
LUZ;202301011350;10;4
LUZ;202301011400;10;4
LUZ;202301011410;10;4
LUZ;202301011420;10;4
LUZ;202301011430;9;4
LUZ;202301011440;0;4
LUZ;202301011450;0;4
